TT        PID        AT        CT        IO_D        WT      RT      TRT
49         8        41        90         0         8         0         8
58        81        14        51         0         0         0        44
64        83        16        47         0        48        48        48
64        84        26        37         0        38         0        38
64        82        14        50         0         0         0        50
66        85        38        27         0        27         0        28
66         2        10        56         0         0         0        56
75        14        63        34         0        12         0        12
88        15        65        88         0        23         0        23
100        17        69       150         0        31         0        31
102        18        71       161         0        31         0        31
103        19        74        93         0        29         0        29
104        20        77       108         0        27         0        27
127        86        67       197         0        60         0        60
127        87        75       189         0        52         0        52
142         5        25        27         0        90        41       117
152        88       125        26         0        27         0        27
152        89       133       122         0        19         0        19
152        90       150         1         0         2         0         2
181        33       141        90         0        40         0        40
188        34       143       121         0        45         0        45
191        35       145       200         0        46         0        46
197        36       148       134         0        49         0        49
200        37       150        80         0        33         0        50
202        38       154        92         0        48         0        48
210        39       163        34         0        47         0        47
215        40       165        88         0        50         0        50
218        41       168       199         0        50         0        50
219        42       169       150         0        50         0        50
228        30       125        27         0        76         0       103
237        94       234        17         0         3         0         3
238        91       196        64         0        42         0        42
266        92       211        54         0        55        55        55
266        95       236        29         0        30         0        30
266        52       210        56         0         0         0        56
303        97       299        35         0         0         0         4
303        98       301        33         0         2         0         2
312        96       283        28         0        29         0        29
312        93       215        45         0        52         0        97
333        76       301       200         0        32         0        32
334        99       309       132         0        25         0        25
334       100       321       191         0        13         0        13
364       101       361        68         0         3         0         3
426       102       410        17         0         1         0        16
426       103       413        14         0        13         0        13
428        80       325        27         0        76         0       103
456       104       434        21         0        22         0        22
456       105       440        15         0        16         0        16
456        74       295        40         3       121       133       161
492        75       300        35         0       157         0       192
497       106       464        32         0        33         0        33
497       107       465        31         0        32         0        32
497        49       195        40         0       262       261       302
511       109       476        71         0         1         0        35
511       110       508        39         0         3         0         3
548       108       472        75         0        76         0        76
548       113       538         9         0        10         0        10
548        71       280       183         6        85         0       268
556       114       552       123         0         4         0         4
583       116       576        13         0         7         0         7
588       111       518        69         0        70         0        70
588       112       524        63         0        64         0        64
588        58       241        90         0       257       256       347
622       115       553       122         0        69         0        69
622       117       606       182         0        16         0        16
678       119       676        52         0         0         0         2
689       118       638        90         0        51         0        51
694       120       692        36         0         2         0         2
742       121       740        59         0         1         0         2
769       123       745        54         0         0         0        24
769       124       745        53         0        24         0        24
800       122       743        56         0        57         0        57
800        43       171       161         0       468         0       629
868        13        54        92         5       722       438       814
874        55       225        27         0       622       643       649
888       125       825        68         0        63         0        63
894        54       220        81         5       593         0       674
903        27       110        56         7       737       764       793
905       126       890        69         0        15         0        15
905       128       903        56         0         2         0         2
922       127       895       198         0        27         0        27
922       129       909        50         0        13         0        13
996       130       968        27         0        28         0        28
996        25       100        35         0       861         0       896
997        77       310        56         0       631         0       687
1002        53       215       134         0       653       688       787
1015       131      1002        77         0        13         0        13
1015       132      1007        24         0         8         0         8
1015       133      1010        17         0         5         0         5
1017         3        15       134         0       868         0      1002
1028        24        95        40         3       893       902       933
1032       134      1016        15         0        16         0        16
1032       135      1020        11         0        12         0        12
1032        50       200        35         0       797       796       832
1053       136      1034        50         0        19         0        19
1053       137      1047        37         0         6         0         6
1083        70       277       108         0       698       725       806
1085        63       254        92         5       739       829       831
1109       139      1096        12         0        13        13        13
1109       140      1097        11         0        12         0        12
1109       138      1095        14         0         0         0        14
1110        29       120        81         5       909       897       990
1177       143      1155       129         0        22         0        22
1232       141      1137       130         0        95         0        95
1232       142      1144       146         0        88         0        88
1232       146      1172       118         0        60         0        60
1232       147      1186        98         0        46         0        46
1285       148      1236        48         0        49         0        49
1285       145      1159       125         0       126         0       126
1285        78       315       134         0       836         0       970
1305       144      1156       111         0       149         0       149
1305       149      1243        24         0        62         0        62
1350       150      1315        56         0         1         0        35
1400       151      1369        30         0        31         0        31
1400        64       263        34         0      1103         0      1137
1443        79       320        81         5      1042       790      1123
1467        28       115       134         0      1218      1328      1352
1501       152      1468        32         0        33         0        33
1501        57       239        73         0      1189      1228      1262
1567       153      1551        35         0        16         0        16
1569         4        20        81         5      1468      1380      1549
1604       154      1589        14         0        15         0        15
1604         6        30       107         6      1467      1539      1574
1621       157      1612         8         0         9         0         9
1621       158      1614         6         0         7         0         7
1621        31       130       107         6      1384         0      1491
1646       155      1605        64         0        41         0        41
1646       156      1607        62         0        39         0        39
1648       159      1632       119         0        16         0        16
1648       160      1634        74         0        14         0        14
1656        56       230       107         6      1319         0      1426
1661        48       187        20         0      1454         0      1474
1663         7        39        73         3      1551      1622      1624
1681        23        87        20         0      1574         0      1594
