TT        PID        AT        CT        IO_D        WT      RT      TRT
1702       161      1698         3         0         1         0         4
1702        73       287        20         0      1395      1394      1415
1725       163      1711        63         0        14         0        14
1725       165      1716        74         0         9         0         9
1728       162      1708        66         0        20         0        20
1728       164      1711        79         0        17         0        17
1791        72       283       127         0      1381      1380      1508
1832       166      1789        48         0         0         0        43
1832       167      1801        35         0        31         0        31
1832       168      1802        34         0        30         0        30
1832       169      1805        32         0        27         0        27
1832       170      1817        44         0        15         0        15
1838        65       265        88         0      1485      1437      1573
1862        69       274        93         0      1495      1330      1588
1889        12        50        80         0      1759      1788      1839
1919       171      1906        19         0        13         0        13
1926        44       174        93        14      1659      1688      1752
1974       172      1927        69         0        47         0        47
1974       173      1947        63         0        27         0        27
1997       174      1956        40         0        41         0        41
1997        62       250        80         2      1667      1676      1747
2011       175      1986        24         0        25         0        25
2011         9        43       121         0      1847      1846      1968
2108       176      2016       107         0        92         0        92
2108       177      2055        68         0        53         0        53
2124       179      2106       106         0        18         0        18
2124       180      2108       104         0        16         0        16
2146       178      2081        64         0        65         0        65
2146       181      2134        11         0        12         0        12
2146        59       243       121         0      1782         0      1903
2164        26       101       200        20      1863       211      2063
2225       182      2152       139         0        73         0        73
2248       183      2215        76         0         1         0        33
2248       184      2221        70         0        27         0        27
2258       185      2239        52         0         0         0        19
2277         1         1       200        20      2076      2163      2276
2332       189      2321        10         0        11        11        11
2332       190      2328         3         0         4         0         4
2332       188      2316        16         0         0         0        16
2333        61       248       134         0      1951      1763      2085
2345        46       180       183         0      1982      2097      2165
2352       191      2347       187         0         5         0         5
2358       186      2293        64         0        65         0        65
2358       187      2301        56         0        57         0        57
2358        21        80       183         0      2095      1576      2278
2367       192      2364       113         0         3         0         3
2476       195      2439        36         0        37         0        37
2476       198      2450        25         0        26         0        26
2476       193      2422        54         0         0         0        54
2477       194      2424        52         0        53        52        53
2477        51       201       200         0      2076       831      2276
2482        32       139        73         0      2270         0      2343
2486       196      2440        25         0        37         0        46
2486       197      2443        22         0        43         0        43
2546       199      2487       101         0        59         0        59
2556       200      2520        68         0         0         0        36
2556       201      2531        56         0        25         0        25
2556       202      2535        52         0        21         0        21
2556       203      2545        45         0        11         0        11
2575       204      2566        24         0         9         0         9
2599        60       245       200         0      2154      2232      2354
2601        11        48       134         4      2419      2285      2553
2618       205      2617         0         0         1         0         1
2618        22        83       127         0      2408      2518      2535
2693       208      2673       168         0        20         0        20
2714        47       183       127         0      2404      2416      2531
2720       206      2643       147         0        77         0        77
2720       207      2652       138         0        68         0        68
2727        10        45       200         0      2482      2669      2682
2790       212      2778        31         0         0         0        12
2841       210      2705       135         0       136       136       136
2841       211      2733       107         0       108         0       108
2841       209      2686       155         0         0         0       155
2851        16        68       199         0      2584      2550      2783
2868       215      2854        13         0         1         0        14
2868       213      2782        26         0        60         0        86
2882        67       269       150        11      2463      2076      2613
2890       214      2787        21         0        82        81       103
2906       217      2894        15         0        12        12        12
2906       218      2904         5         0         2         0         2
2906       216      2886        19         0         5         4        20
2906        45       177       108         0      2621      2674      2729
2988       223      2957        85         0        31         0        31
3001       221      2950        92         0         1         0        51
3001       222      2955        88         0        46         0        46
3001       224      2960        82         0        41         0        41
3010       219      2918       125         0         0         0        92
3010       220      2927       115         0        83         0        83
3061       226      3054        18         0         0         0         7
3073       225      3043        29         0        30        30        30
3073       227      3068         4         0         5         0         5
3073        68       271       161         0      2641      2611      2802
3093       228      3070        62         0         4         0        23
3133        66       268       199         0      2666      1233      2865

Processes: 228
Avg WT = 374.645      Avg RT = 263.798      Avg TRT = 406.189
Migration %:     RTF= 0%,      MaxW= 0%
Work Steal%: 298.684%
Forked Process: 64.9123%
Killed Process: 7.89474%
Processes Finished before deadline: 94%
Processsors: 5 [ 3 FCFS, 0 SJF, 2 EDF, 0 RR ]
 ******** Processors Load *********
p1= 1.64451%,	
p2= 1.61428%,	
p3= 1.6931%,	
p4= 1.45771%,	
p5= 1.43395%,	

 ********* Processors Utiliz ********** 
p1= 91.5264%,	
p2= 87.6833%,	
p3= 89.2938%,	
p4= 84.2171%,	
p5= 75.6264%,	

AvgUtilization = 85.6694%
